year,date,round,siteID,temperature_level,precipitation_level,blockID,plotID,treatment,removed_fg,biomass,name,remark,functional_group
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1FGB,FGB,F,4.2,NA,Only one round of removals was executed this year,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1FGB,FGB,B,3.4,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1FGB,FGB,G,8.6,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1FG,GF,F,8.2,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1FG,GF,G,4.3,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1FB,FB,F,7.1,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1FB,FB,B,4.9,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1GB,GB,G,7.5,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1GB,GB,B,6.1,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1F,F,F,6,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1G,G,G,8.1,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh1,Arh1B,B,B,2.1,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh2,Arh2FGB,FGB,F,6,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh2,Arh2FGB,FGB,B,0.9,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh2,Arh2FGB,FGB,G,6.08,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh2,Arh2FG,GF,F,6.7,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh2,Arh2FG,GF,G,10.2,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh2,Arh2FB,FB,F,4.3,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh2,Arh2FB,FB,B,1.5,NA,NA,NA
2015,NA,1,Arhelleren,boreal,3,Arh2,Arh2GB,GB,G,7,NA,NA,NA
