funder_blockID,funcab_blockID
Alr1,Alr1
Alr2,Alr2
Alr3,Alr3
Alr4,Alr5
Arh1,Arh1
Arh2,Arh2
Arh3,Arh3
Arh4,Arh4
Fau1,Fau1
Fau2,Fau2
Fau3,Fau4
Fau4,Fau5
Gud1,Gud5
Gud2,Gud12
Gud3,Gud13
Gud4,Gud15
Hog1,Hog1
Hog2,Hog2
Hog3,Hog3
Hog4,Hog4
Lav1,Lav1
Lav2,Lav2
Lav3,Lav3
Lav4,Lav4
Ovs1,Ovs1
Ovs2,Ovs2
Ovs3,Ovs3
Ovs4,Ovs4
Ram1,Ram4
Ram2,Ram5
Ram3,Ram6
Ram4,Ram8
Skj1,Skj1
Skj2,Skj2
Skj3,Skj3
Skj4,Skj4
Ulv1,Ulv1
Ulv2,Ulv2
Ulv3,Ulv3
Ulv4,Ulv4
Ves1,Ves1
Ves2,Ves2
Ves3,Ves3
Ves4,Ves4
Vik1,Vik2
Vik2,Vik3
Vik3,Vik4
Vik4,Vik5
