site_name,landpress_name,geography,drought_treatment,age_class,plot
Lygra,Lygra1,South,Ambient,Pioneer,1.1.
Lygra,Lygra1,South,Moderate,Pioneer,1.2.
Lygra,Lygra1,South,Extreme,Pioneer,1.3.
Lygra,Lygra1,South,Ambient,Pioneer,2.1.
Lygra,Lygra1,South,Moderate,Pioneer,2.2.
Lygra,Lygra1,South,Extreme,Pioneer,2.3.
Lygra,Lygra1,South,Ambient,Pioneer,3.1.
Lygra,Lygra1,South,Moderate,Pioneer,3.2.
Lygra,Lygra1,South,Extreme,Pioneer,3.3.
Lygra,Lygra2,South,Ambient,Building,4.1.
Lygra,Lygra2,South,Moderate,Building,4.2.
Lygra,Lygra2,South,Extreme,Building,4.3.
Lygra,Lygra2,South,Ambient,Building,5.1.
Lygra,Lygra2,South,Moderate,Building,5.2.
Lygra,Lygra2,South,Extreme,Building,5.3.
Lygra,Lygra2,South,Ambient,Building,6.1.
Lygra,Lygra2,South,Moderate,Building,6.2.
Lygra,Lygra2,South,Extreme,Building,6.3.
Lygra,Lygra3,South,Ambient,Mature,7.1.
Lygra,Lygra3,South,Moderate,Mature,7.2.
Lygra,Lygra3,South,Extreme,Mature,7.3.
Lygra,Lygra3,South,Ambient,Mature,8.1.
Lygra,Lygra3,South,Moderate,Mature,8.2.
Lygra,Lygra3,South,Extreme,Mature,8.3.
Lygra,Lygra3,South,Ambient,Mature,9.1.
Lygra,Lygra3,South,Moderate,Mature,9.2.
Lygra,Lygra3,South,Extreme,Mature,9.3.
Tjotta,Store_buøya,North,Ambient,Pioneer,10.1.
Tjotta,Store_buøya,North,Moderate,Pioneer,10.2.
Tjotta,Store_buøya,North,Extreme,Pioneer,10.3.
Tjotta,Store_buøya,North,Ambient,Pioneer,11.1.
Tjotta,Store_buøya,North,Moderate,Pioneer,11.2.
Tjotta,Store_buøya,North,Extreme,Pioneer,11.3.
Tjotta,Store_buøya,North,Ambient,Pioneer,12.1.
Tjotta,Store_buøya,North,Moderate,Pioneer,12.2.
Tjotta,Store_buøya,North,Extreme,Pioneer,12.3.
Tjotta,Haverøya,North,Ambient,Building,13.1.
Tjotta,Haverøya,North,Moderate,Building,13.2.
Tjotta,Haverøya,North,Extreme,Building,13.3.
Tjotta,Haverøya,North,Ambient,Building,14.1.
Tjotta,Haverøya,North,Moderate,Building,14.2.
Tjotta,Haverøya,North,Extreme,Building,14.3.
Tjotta,Haverøya,North,Ambient,Building,15.1.
Tjotta,Haverøya,North,Moderate,Building,15.2.
Tjotta,Haverøya,North,Extreme,Building,15.3.
Tjotta,Skotsvær,North,Ambient,Mature,16.1.
Tjotta,Skotsvær,North,Moderate,Mature,16.2.
Tjotta,Skotsvær,North,Extreme,Mature,16.3.
Tjotta,Skotsvær,North,Ambient,Mature,17.1.
Tjotta,Skotsvær,North,Moderate,Mature,17.2.
Tjotta,Skotsvær,North,Extreme,Mature,17.3.
Tjotta,Skotsvær,North,Ambient,Mature,18.1.
Tjotta,Skotsvær,North,Moderate,Mature,18.2.
Tjotta,Skotsvær,North,Extreme,Mature,18.3.
